Brezovička;Sabinov;Prešovský kraj;49.10308;21.0988
Brezovka;Bardejov;Prešovský kraj;49.27146;21.420432
Brežany;Prešov;Prešovský kraj;48.99839;21.23393
Brhlovce;Levice;Nitriansky kraj;48.21563;18.60705
Brieštie;Turčianske Teplice;Žilinský kraj;48.920937;18.736072
Brodské;Skalica;Trnavský kraj;48.690891;17.014476
Brodzany;Partizánske;Trenčiansky kraj;48.608277;18.345365
Brunovce;Nové Mesto nad Váhom;Trenčiansky kraj;48.674145;17.853327
Brusnica;Stropkov;Prešovský kraj;49.153201;21.697911
Brusník;Veľký Krtíš;Banskobystrický kraj;48.299283;19.401576
Brusno;Banská Bystrica;Banskobystrický kraj;48.792375;19.382195
Brutovce;Levoča;Prešovský kraj;49.08585;20.776164
Bruty;Nové Zámky;Nitriansky kraj;47.923161;18.579732
Brvnište;Považská Bystrica;Trenčiansky kraj;49.210972;18.430692
Brzotín;Rožňava;Košický kraj;48.630997;20.495672
Buclovany;Bardejov;Prešovský kraj;49.155297;21.365174
Bučany;Trnava;Trnavský kraj;48.415822;17.697205
Budča;Zvolen;Banskobystrický kraj;48.573844;19.069365
Budikovany;Rimavská Sobota;Banskobystrický kraj;48.488415;20.088243
Budimír;Košice-okolie;Košický kraj;48.799533;21.301618
Budiná;Lučenec;Banskobystrický kraj;48.433333;19.6
Budince;Michalovce;Košický kraj;48.75434;21.9195
Budiš;Turčianske Teplice;Žilinský kraj;48.872897;18.758474
Budkovce;Michalovce;Košický kraj;48.632158;21.930572
Budmerice;Pezinok;Bratislavský kraj;48.357559;17.407148
Buglovce;Levoča;Prešovský kraj;49.02173;20.59212
Buková;Trnava;Trnavský kraj;48.543208;17.396964
Bukovce;Stropkov;Prešovský kraj;49.20211;21.65216
Bukovec;Košice-okolie;Košický kraj;48.710322;21.151802
Bukovec;Myjava;Trenčiansky kraj;48.698061;17.496678
Bukovina;Liptovský Mikuláš;Žilinský kraj;49.316667;19.666667
Bulhary;Lučenec;Banskobystrický kraj;48.29351;19.848056
Bunetice;Košice-okolie;Košický kraj;48.86088;21.393412
Bunkovce;Sobrance;Košický kraj;48.724896;22.116866
Bušince;Veľký Krtíš;Banskobystrický kraj;48.17455;19.501167
Bušovce;Kežmarok;Prešovský kraj;49.217806;20.486653
Buzica;Košice-okolie;Košický kraj;48.532211;21.07614
Buzitka;Lučenec;Banskobystrický kraj;48.33249;19.66708
Búč;Komárno;Nitriansky kraj;47.80762;18.446645
Bystrá;Brezno;Banskobystrický kraj;48.85;19.6
Bystrá;Stropkov;Prešovský kraj;49.243554;21.819491
Bystrany;Spišská Nová Ves;Košický kraj;48.948696;20.759759
Bystré;Vranov nad Topľou;Prešovský kraj;48.909992;21.030693
Bystričany;Prievidza;Trenčiansky kraj;48.659669;18.515329
Bystrička;Martin;Žilinský kraj;49.05;18.883333
Byšta;Trebišov;Košický kraj;48.530727;21.538752
Bytča;Bytča;Žilinský kraj;49.224045;18.558779
Bzenica;Žiar nad Hronom;Banskobystrický kraj;48.529518;18.741584
Bzenov;Prešov;Prešovský kraj;48.94802;21.167468
Bzince pod Javorinou;Nové Mesto nad Váhom;Trenčiansky kraj;48.788435;17.774489
Bziny;Dolný Kubín;Žilinský kraj;49.227449;19.32319
Bzovík;Krupina;Banskobystrický kraj;48.32154;19.091838
Bzovská Lehôtka;Zvolen;Banskobystrický kraj;48.414051;19.132818
Bžany;Stropkov;Prešovský kraj;49.091396;21.638283
Cabaj-Čápor;Nitra;Nitriansky kraj;48.247475;18.023551
Cabov;Vranov nad Topľou;Prešovský kraj;48.80255;21.649445
Cakov;Rimavská Sobota;Banskobystrický kraj;48.338968;20.224778
Cejkov;Trebišov;Košický kraj;48.466328;21.76051
Cernina;Svidník;Prešovský kraj;49.295764;21.474223
Cerová;Senica;Trnavský kraj;48.67922;17.36697
Cerovo;Krupina;Banskobystrický kraj;48.254657;19.156669
Cestice;Košice-okolie;Košický kraj;48.591386;21.101028
Cigeľ;Prievidza;Trenčiansky kraj;48.71382;18.639972
Cigeľka;Bardejov;Prešovský kraj;49.383333;21.133333
Cigla;Svidník;Prešovský kraj;49.361511;21.395972
Cimenná;Bánovce nad Bebravou;Trenčiansky kraj;48.728623;18.140855
Cinobaňa;Poltár;Banskobystrický kraj;48.447442;19.652681
Cífer;Trnava;Trnavský kraj;48.317505;17.489866
Čab;Nitra;Nitriansky kraj;48.408542;17.988305
Čabalovce;Medzilaborce;Prešovský kraj;49.226953;21.965952
Čabiny;Medzilaborce;Prešovský kraj;49.16667;21.25
Čabradský Vrbovok;Krupina;Banskobystrický kraj;48.257599;19.078513
Čadca;Čadca;Žilinský kraj;49.433333;18.783333
Čachtice;Nové Mesto nad Váhom;Trenčiansky kraj;48.714026;17.790048
Čajkov;Levice;Nitriansky kraj;48.289558;18.600582
Čaka;Levice;Nitriansky kraj;48.039264;18.468934
Čakajovce;Nitra;Nitriansky kraj;48.371643;18.038287
Čakanovce;Lučenec;Banskobystrický kraj;48.213166;19.8146
Čakanovce;Košice-okolie;Košický kraj;48.766777;21.443324
Čakany;Dunajská Streda;Trnavský kraj;47.99268;17.61211
Čaklov;Vranov nad Topľou;Prešovský kraj;48.907534;21.629878
Čalovec;Komárno;Nitriansky kraj;47.76667;18.13333
Čamovce;Lučenec;Banskobystrický kraj;48.250415;19.883103
Čaňa;Košice-okolie;Košický kraj;48.609936;21.32622
Čaradice;Zlaté Moravce;Nitriansky kraj;48.358948;18.508755
Častá;Pezinok;Bratislavský kraj;48.399203;17.363494
Častkov;Senica;Trnavský kraj;48.74826;17.352805
Častkovce;Nové Mesto nad Váhom;Trenčiansky kraj;48.692117;17.78624
Čata;Levice;Nitriansky kraj;48.21563;18.60705
Čataj;Senec;Bratislavský kraj;48.270495;17.478727
Čavoj;Prievidza;Trenčiansky kraj;48.886204;18.496761
Čáry;Senica;Trnavský kraj;48.655099;17.091341
Čebovce;Veľký Krtíš;Banskobystrický kraj;48.180282;19.229309
Čečehov;Michalovce;Košický kraj;48.724776;21.989867
Čečejovce;Košice-okolie;Košický kraj;48.594994;21.065138
Čechy;Nové Zámky;Nitriansky kraj;47.98333;18.16667
Čechynce;Nitra;Nitriansky kraj;48.254893;18.159585
Čekovce;Krupina;Banskobystrický kraj;48.275539;19.052069
Čeláre;Veľký Krtíš;Banskobystrický kraj;48.21058;19.35043
Čelkova Lehota;Považská Bystrica;Trenčiansky kraj;49.016642;18.526794
Čelovce;Veľký Krtíš;Banskobystrický kraj;48.183182;19.143266
Čelovce;Prešov;Prešovský kraj;49.079737;21.399661
Čeľadice;Nitra;Nitriansky kraj;48.329176;18.239027
Čeľadince;Topoľčany;Nitriansky kraj;48.510914;18.171499
Čeľovce;Trebišov;Košický kraj;48.602219;21.627953
Čenkovce;Dunajská Streda;Trnavský kraj;47.99268;17.61211
Čerenčany;Rimavská Sobota;Banskobystrický kraj;48.38284;20.0224
Čereňany;Prievidza;Trenčiansky kraj;48.644773;18.487354
Čerhov;Trebišov;Košický kraj;48.463287;21.647132
Čerín;Banská Bystrica;Banskobystrický kraj;48.660652;19.245359
Čermany;Topoľčany;Nitriansky kraj;48.46894;18.036076
Černík;Nové Zámky;Nitriansky kraj;47.98333;18.16667
Černina;Humenné;Prešovský kraj;48.93707;21.91625
Černochov;Trebišov;Košický kraj;48.441176;21.73196
Čertižné;Medzilaborce;Prešovský kraj;49.349252;21.825025
Červená Voda;Sabinov;Prešovský kraj;49.10308;21.0988
Červenica;Prešov;Prešovský kraj;48.886814;21.449003
Červenica pri Sabinove;Sabinov;Prešovský kraj;49.10308;21.0988
Červeník;Hlohovec;Trnavský kraj;48.459438;17.75694
Červený Hrádok;Zlaté Moravce;Nitriansky kraj;48.301843;18.386747
Červený Kameň;Ilava;Trenčiansky kraj;48.83333;18.25
Červený Kláštor;Kežmarok;Prešovský kraj;49.391729;20.407648
Červeňany;Veľký Krtíš;Banskobystrický kraj;48.381187;19.388366
České Brezovo;Poltár;Banskobystrický kraj;48.481962;19.804483
Čičarovce;Michalovce;Košický kraj;48.75434;21.9195
Čičava;Vranov nad Topľou;Prešovský kraj;48.924409;21.669795
Čičmany;Žilina;Žilinský kraj;48.955453;18.517444
Čierna;Trebišov;Košický kraj;48.62858;21.71954
Čierna Lehota;Bánovce nad Bebravou;Trenčiansky kraj;48.865004;18.331569
Čierna Lehota;Rožňava;Košický kraj;48.717238;20.270691
Čierna nad Tisou;Trebišov;Košický kraj;48.62858;21.71954
Čierna Voda;Galanta;Trnavský kraj;48.129024;17.651454
Čierne;Čadca;Žilinský kraj;49.493615;18.819536
Čierne Kľačany;Zlaté Moravce;Nitriansky kraj;48.38553;18.40063
Čierne nad Topľou;Vranov nad Topľou;Prešovský kraj;48.997006;21.567311
Čierne Pole;Michalovce;Košický kraj;48.75434;21.9195
Čierny Balog;Brezno;Banskobystrický kraj;48.747221;19.651251
Čierny Brod;Galanta;Trnavský kraj;48.14731;17.653193
Čierny Potok;Rimavská Sobota;Banskobystrický kraj;48.38284;20.0224
Čifáre;Nitra;Nitriansky kraj;48.232389;18.391595
Čiližská Radvaň;Dunajská Streda;Trnavský kraj;47.834474;17.696142
Čimhová;Tvrdošín;Žilinský kraj;49.361577;19.692158
Čirč;Stará Ľubovňa;Prešovský kraj;49.278701;20.92419
Čižatice;Košice-okolie;Košický kraj;48.795497;21.392392
Číčov;Komárno;Nitriansky kraj;47.76667;18.13333
Číž;Rimavská Sobota;Banskobystrický kraj;48.313664;20.280402
Čoltovo;Rožňava;Košický kraj;48.494954;20.375401
Čremošné;Turčianske Teplice;Žilinský kraj;48.847964;18.904222
Čučma;Rožňava;Košický kraj;48.691553;20.541275
Čukalovce;Snina;Prešovský kraj;48.98857;22.15099
Dačov Lom;Veľký Krtíš;Banskobystrický kraj;48.3225;19.2499
Daletice;Sabinov;Prešovský kraj;49.040096;21.062853
Danišovce;Spišská Nová Ves;Košický kraj;48.94968;20.620182
Dargov;Trebišov;Košický kraj;48.716667;21.5
Davidov;Vranov nad Topľou;Prešovský kraj;48.826523;21.63096
Debraď;Košice-okolie;Košický kraj;48.66667;21.33333
Dedačov;Humenné;Prešovský kraj;48.93707;21.91625
Dedina Mládeže;Komárno;Nitriansky kraj;47.76667;18.13333
Dedinka;Nové Zámky;Nitriansky kraj;47.98333;18.16667
Dedinky;Rožňava;Košický kraj;48.867519;20.380013
Dechtice;Trnava;Trnavský kraj;48.546867;17.596663
Dekýš;Banská Štiavnica;Banskobystrický kraj;48.4;18.766667
Demandice;Levice;Nitriansky kraj;48.125601;18.783104
Demänovská Dolina;Liptovský Mikuláš;Žilinský kraj;48.97086;19.58433
Demjata;Prešov;Prešovský kraj;49.106524;21.313894
Detrík;Vranov nad Topľou;Prešovský kraj;48.88836;21.68479
Detva;Detva;Banskobystrický kraj;48.560688;19.420135
Detvianska Huta;Detva;Banskobystrický kraj;48.569511;19.591627
Devičany;Levice;Nitriansky kraj;48.322527;18.705361
Devičie;Krupina;Banskobystrický kraj;48.308354;19.026547
Dežerice;Bánovce nad Bebravou;Trenčiansky kraj;48.763263;18.216391
Diaková;Martin;Žilinský kraj;49.050297;18.963087
Diakovce;Šaľa;Nitriansky kraj;48.1345;17.848717
Diviacka Nová Ves;Prievidza;Trenčiansky kraj;48.747868;18.496498
Diviaky nad Nitricou;Prievidza;Trenčiansky kraj;48.766907;18.49185
Divín;Lučenec;Banskobystrický kraj;48.449898;19.535278
Divina;Žilina;Žilinský kraj;49.271777;18.695165
Divinka;Žilina;Žilinský kraj;49.25433;18.699839
Dlhá;Trnava;Trnavský kraj;48.412062;17.427457
Dlhá nad Kysucou;Čadca;Žilinský kraj;49.43503;18.78895
Dlhá nad Oravou;Dolný Kubín;Žilinský kraj;49.266667;19.45
Dlhá nad Váhom;Šaľa;Nitriansky kraj;48.171858;17.864324
Dlhá Ves;Rožňava;Košický kraj;48.494915;20.438998
Dlhé Klčovo;Vranov nad Topľou;Prešovský kraj;48.810803;21.739902
Dlhé nad Cirochou;Snina;Prešovský kraj;48.959904;22.062258
Dlhé Pole;Žilina;Žilinský kraj;49.307297;18.631656
Dlhé Stráže;Levoča;Prešovský kraj;49.026798;20.520798
Dlhoňa;Svidník;Prešovský kraj;49.401212;21.570608
Dlžín;Prievidza;Trenčiansky kraj;48.810305;18.513521
Dobrá;Trebišov;Košický kraj;48.62858;21.71954
Dobrá Niva;Zvolen;Banskobystrický kraj;48.470821;19.10562
Dobrá Voda;Trnava;Trnavský kraj;48.597235;17.538471
Dobroč;Lučenec;Banskobystrický kraj;48.533333;19.583333
Dobrohošť;Dunajská Streda;Trnavský kraj;47.982676;17.36556
Dobroslava;Svidník;Prešovský kraj;49.363682;21.61501
Dobšiná;Rožňava;Košický kraj;48.820726;20.369877
Dohňany;Púchov;Trenčiansky kraj;48.83333;18.25
Dojč;Senica;Trnavský kraj;48.677498;17.254322
Dolinka;Veľký Krtíš;Banskobystrický kraj;48.089142;19.1532
Dolná Breznica;Púchov;Trenčiansky kraj;48.83333;18.25
Dolná Krupá;Trnava;Trnavský kraj;48.482658;17.551125
Dolná Lehota;Brezno;Banskobystrický kraj;48.833548;19.505175
Dolná Mariková;Považská Bystrica;Trenčiansky kraj;49.25;18.366667
Dolná Mičiná;Banská Bystrica;Banskobystrický kraj;48.675418;19.22235
Dolná Poruba;Trenčín;Trenčiansky kraj;48.912123;18.297108
Dolná Seč;Levice;Nitriansky kraj;48.176343;18.563968
Dolná Streda;Galanta;Trnavský kraj;48.269144;17.749939
Dolná Strehová;Veľký Krtíš;Banskobystrický kraj;48.250798;19.488802
Dolná Súča;Trenčín;Trenčiansky kraj;48.96079;18.032023
Dolná Tižina;Žilina;Žilinský kraj;49.215581;18.915656
Dolná Trnávka;Žiar nad Hronom;Banskobystrický kraj;48.560371;18.788349
Dolná Ves;Žiar nad Hronom;Banskobystrický kraj;48.664729;18.912941
Dolná Ždaňa;Žiar nad Hronom;Banskobystrický kraj;48.546451;18.761963
Dolné Dubové;Trnava;Trnavský kraj;48.491732;17.610182
Dolné Kočkovce;Púchov;Trenčiansky kraj;48.83333;18.25
Dolné Lefantovce;Nitra;Nitriansky kraj;48.424918;18.124938
Dolné Lovčice;Trnava;Trnavský kraj;48.3665;17.676346
Dolné Mladonice;Krupina;Banskobystrický kraj;48.338966;19.127546
Dolné Naštice;Bánovce nad Bebravou;Trenčiansky kraj;48.693961;18.24955
Dolné Obdokovce;Nitra;Nitriansky kraj;48.313247;18.210485
Dolné Orešany;Trnava;Trnavský kraj;48.43966;17.429422
Dolné Otrokovce;Hlohovec;Trnavský kraj;48.46808;17.910076
Dolné Plachtince;Veľký Krtíš;Banskobystrický kraj;48.200021;19.309973
Dolné Saliby;Galanta;Trnavský kraj;48.107238;17.781739
